dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
pasta_bolognese,0.3871269799507092,0.29892046772777836,0.28289567177427855,0.17602294459434423,0.23153146689263657,0.3475810838761929,0.4768525877167202,0.3008296431223759,1.0633942938597054
pasta_carbonara,0.20538029673412,0.15924359996422016,0.15646979336597017,0.112177444498402,0.13715585230640895,0.17888650818437876,0.21466102520069724,0.10248358070229524,0.6549735798691473
patatas_bravas,0.2824044679241891,0.23307215252425056,0.22839773770616473,0.1625953186102539,0.19868445672024554,0.26208138553642485,0.32174650910284963,0.15915119049259574,0.6968159671412545
peking_duck,0.3637668649375477,0.28865564707191577,0.2820280781678456,0.19874113705344135,0.2444271144385239,0.3251998172879966,0.3990331937189606,0.20029205666551927,0.7101848084300241
penne_arrabbiata,0.1413938119152791,0.11025433605812773,0.1083821764213618,0.07842381665148557,0.09484142309173042,0.12334794908160515,0.14866086206935777,0.07023704541787221,0.648049778450737
pho,0.395002904915845,0.30597388384632507,0.28967709017605314,0.17884843012289514,0.23742240225182062,0.3561960237466606,0.4897486522893075,0.31090022216641233,1.0732647927989774
pita,0.2214726334827755,0.1822950672841549,0.17822613933884635,0.12499723297603317,0.1541227684248485,0.20550566305506193,0.25356928381805705,0.1285720508420239,0.721398394864968
pizza,0.3198078040607087,0.25576146653339626,0.2508334034843148,0.18266987614130173,0.22035313149215635,0.2861396988909687,0.3452560813490018,0.1625862052077001,0.6481840255293868
pizza_margherita,0.2942943620278918,0.2370660649440791,0.2336203959673382,0.16890968187892796,0.20470456215643704,0.26436170233113565,0.3194929623434954,0.15058328046456743,0.6445639296220526
pozole,0.1813985581478384,0.14226058524645865,0.13762559141356548,0.09381807207995543,0.11785617802432174,0.1616680586823751,0.20678394165164984,0.11296586957169441,0.8208202298090876
pulled_pork,0.4097443133224298,0.33610190241663424,0.3299087804171691,0.23184149244318705,0.28568266674864884,0.3815794094259004,0.4578095561559771,0.22596806371279007,0.6849410416632556
quesadilla,0.2259953170821839,0.1770196035782278,0.17378397851249394,0.1242583612312575,0.15193039283678,0.19852725357659795,0.24221900879908598,0.11796064756782848,0.6787774602556235
quiche,0.3547504593313247,0.2833966408434626,0.2790307965812643,0.20528435864732164,0.24616596827507564,0.3171186932369886,0.3766264386876136,0.17134208004029194,0.6140615377929822
raita,0.0280594219823921,0.014082943565050193,0.012771171334476635,0.00486383915407627,0.008791238197865483,0.017749046352847075,0.027620816454041602,0.02275697729996533,1.7819021218931848
ramen,0.1942964691225439,0.15103951029102214,0.14798735980611177,0.10633572061593077,0.12942973504526195,0.16927477901969337,0.20625674756248394,0.09992102694655317,0.675199740555318
ratatouille,0.1346233349410699,0.10505779692784517,0.10330705084036998,0.07389076487474143,0.09008812959853824,0.11763944182582196,0.14283953941264935,0.06894877453790792,0.6674159602566483
ravioli,0.1935701450266944,0.1499488861445872,0.14773348980408396,0.1064411260248003,0.129065733764348,0.16798997379470287,0.2005148296449564,0.0940737036201561,0.63677981035249
red_curry,0.2608840882697989,0.1990454859028566,0.19517376101673026,0.13990223148513758,0.17110009300295426,0.2238083385609919,0.26913430567205765,0.12923207418692007,0.6621385657257602
ribs,0.5441126977074214,0.44493686706633306,0.4396887600511677,0.3169358255710614,0.3880045959384828,0.4931922684592087,0.5958243988857181,0.2788885733146567,0.6342863376407478
risotto,0.1798937436216193,0.1391577947876404,0.13698131682180892,0.10043198889122479,0.12068251627900597,0.15536110828080207,0.18556318287726542,0.08513119398604063,0.6214803300276555
samgyeopsal,0.274564609930532,0.21796683985453802,0.20985137317336366,0.14453233087979525,0.17928965132659616,0.24801756581564513,0.31616771439932395,0.1716353835195287,0.8178902092660421
samosa,0.2564875522755967,0.21434806385614966,0.20965421942281484,0.14445982464164453,0.18022349135786872,0.2441016804372061,0.29989773661747554,0.155437911975831,0.7414013054626654
sashimi,0.0629854347994419,0.04236573719216801,0.036662140579602986,0.01319355565309702,0.024832330344932964,0.05378699800425096,0.09063456600032088,0.07744101034722387,2.1122882931256948
satay,0.2351079257839079,0.18633626501230277,0.18371516202917942,0.13096456289059974,0.1608196421759816,0.20899888506541192,0.2512256399194898,0.12026107702889008,0.6546061615196956
scallion_pancake,0.145579254449721,0.11625086203132191,0.11400214928251731,0.08048306308613412,0.0987273915982261,0.13116245921521247,0.15980318559281187,0.07932012250667775,0.6957774305650026
shawarma,0.3031312637237955,0.242605011402909,0.23835062299745585,0.17042440907307946,0.20857807942389567,0.2707122855295237,0.33319257115903234,0.16276816208595288,0.6828937975450152
souffle,0.2974611158696626,0.23972876240522736,0.23606411748279243,0.17113630097914984,0.20726469567782627,0.26820976941915736,0.3218434502810594,0.15070714930190954,0.6384161680688092
soup,0.1268497208512982,0.09986615469955056,0.09827523135541719,0.06902990734212021,0.08497477793268449,0.11239693049982509,0.1366439638666517,0.0676140565245315,0.6880070959080417
spanakopita,0.2741309781639822,0.2220478533214877,0.2181802035223861,0.156606208155289,0.19101978453208882,0.24876374180025973,0.30059346580577545,0.14398725765048645,0.6599464815134468
spring_rolls,0.2903988081034614,0.24042703637892565,0.23589720678041745,0.1663397887669879,0.20482702127696478,0.271047519073885,0.33117594507885234,0.16483615631186443,0.6987626456522672
steak,0.7815011469219191,0.5884343350071555,0.5888486916852368,0.3331993862676414,0.4633589884314238,0.7421545146439986,0.8040845122971942,0.47088512602955285,0.7996708368017565
sundubu_jjigae,0.1660415503417002,0.12914409995335868,0.12692913591900523,0.09234218200960036,0.11191827572057118,0.14450701182775583,0.1730626835566406,0.08072050154704023,0.6359493504986027
sushi,0.0640243446175479,0.04135399111096669,0.039018666716622914,0.021195344039872933,0.03064555835290933,0.0499404259142347,0.06921162318287412,0.04801627914300119,1.2305976391178193
sweet_and_sour,0.3685525819004364,0.3000549643553088,0.2933657276702091,0.20952783963515786,0.25633934761519994,0.3379294786370713,0.4094981686386578,0.19997032900349992,0.68164175342356
