family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Soup,clam_chowder,miso_soup,6.857696507453919,6.964753091573715,0.10705658411979613,500,500,0.9357512373538968,0.34962977139636864,0.05918210466718291,negligible,False,False
Soup,clam_chowder,tom_yum,6.857696507453919,7.086130287885666,0.22843378043174756,500,500,2.034860008562431,0.04213395948959524,0.12869584693294023,negligible,True,False
Soup,french_onion_soup,gazpacho,7.064659948348999,7.436058485031128,0.3713985366821291,500,500,3.849927706032778,0.0001264132061631186,0.243490807561015,small,True,True
Soup,french_onion_soup,miso_soup,7.064659948348999,6.964753091573715,0.09990685677528433,500,500,0.9117481455239228,0.36212154021579224,0.057664015845804995,negligible,False,False
Soup,french_onion_soup,tom_yum,7.064659948348999,7.086130287885666,0.021470339536667105,500,500,0.2000333781756786,0.8414953670236253,0.01265122166185923,negligible,False,False
Soup,gazpacho,miso_soup,7.436058485031128,6.964753091573715,0.4713053934574134,500,500,4.934979195817666,9.517445208245315e-07,0.3121154892865983,small,True,True
Soup,gazpacho,tom_yum,7.436058485031128,7.086130287885666,0.34992819714546197,500,500,3.765893757024393,0.00017630591847885452,0.2381760339681161,small,True,True
Soup,miso_soup,tom_yum,6.964753091573715,7.086130287885666,0.12137719631195143,500,500,1.1400510620835784,0.2545390606674628,0.07210316010156269,negligible,False,False
Bread/Pastry,croissant,naan,7.299064743518829,7.20288468003273,0.09618006348609942,500,500,0.9875095437441086,0.3236324104143381,0.062455587387701274,negligible,False,False
Bread/Pastry,croissant,pita,7.299064743518829,7.041780240535736,0.2572845029830928,500,500,2.4887017606497053,0.012986102712890642,0.15739931961048553,negligible,True,False
Bread/Pastry,naan,pita,7.20288468003273,7.041780240535736,0.16110443949699338,500,500,1.5410674192787284,0.12362120534650316,0.0974656614559692,negligible,False,False
Wrapped/Dumpling,dumplings,samosa,7.079741397857666,7.343216485738754,0.26347508788108787,500,500,2.6495029925860627,0.008192227553820857,0.16756928248008346,negligible,True,False
Wrapped/Dumpling,dumplings,spring_rolls,7.079741397857666,6.8453974871635435,0.23434391069412275,500,500,2.0414987529871755,0.0414676477499978,0.12911571799665897,negligible,True,False
Wrapped/Dumpling,samosa,spring_rolls,7.343216485738754,6.8453974871635435,0.4978189985752106,500,500,4.647373414539559,3.851202345142765e-06,0.29392570254517775,small,True,True
Vegetable/Legume,falafel,guacamole,7.341277606010437,6.930391091108322,0.41088651490211525,500,500,3.9779218692090352,7.485827294092536e-05,0.25158586921789944,small,True,True
Vegetable/Legume,falafel,hummus,7.341277606010437,7.34693403673172,0.005656430721282746,500,500,0.06305820446069933,0.94973278295918,0.003988151025127991,negligible,False,False
Vegetable/Legume,guacamole,hummus,6.930391091108322,7.34693403673172,0.416542945623398,500,500,4.030413820105783,6.0175684503802556e-05,0.25490575169108826,small,True,True
Pork,pulled_pork,ribs,6.971712380170822,7.00398721909523,0.0322748389244083,500,500,0.28719186699411375,0.7740250310112121,0.01816360850355069,negligible,False,False
Pork,pulled_pork,samgyeopsal,6.971712380170822,7.223038626670838,0.25132624650001567,500,500,2.4021038051551713,0.016487412223329487,0.15192238400895308,negligible,True,False
Pork,ribs,samgyeopsal,7.00398721909523,7.223038626670838,0.21905140757560737,500,500,2.0961630190210543,0.036325048022475964,0.1325729897424277,negligible,True,False
